teams,height,time,AVG,SLG,lat,lon
Coors Field,1579.05,2008,0.318,0.483,39.756154,-104.994124
Coors Field,1579.05,2009,0.303,0.472,39.756154,-104.994124
Coors Field,1579.05,2010,0.312,0.512,39.756154,-104.994124
Coors Field,1579.05,2011,0.332,0.492,39.756154,-104.994124
Coors Field,1579.05,2012,0.306,0.5,39.756154,-104.994124
Coors Field,1579.05,2013,0.293,0.462,39.756154,-104.994124
Coors Field,1579.05,2014,0.322,0.529,39.756154,-104.994124
Coors Field,1579.05,2015,0.302,0.489,39.756154,-104.994124
Coors Field,1579.05,2016,0.304,0.516,39.756154,-104.994124
Coors Field,1579.05,2017,0.312,0.518,39.756154,-104.994124
Chase Field,653.2,2008,0.278,0.5,33.445777,-112.066643
Chase Field,653.2,2009,0.269,0.463,33.445777,-112.066643
Chase Field,653.2,2010,0.292,0.487,33.445777,-112.066643
Chase Field,653.2,2011,0.278,0.423,33.445777,-112.066643
Chase Field,653.2,2012,0.264,0.465,33.445777,-112.066643
Chase Field,653.2,2013,0.287,0.481,33.445777,-112.066643
Chase Field,653.2,2014,0.268,0.423,33.445777,-112.066643
Chase Field,653.2,2015,0.292,0.421,33.445777,-112.066643
Chase Field,653.2,2016,0.302,0.452,33.445777,-112.066643
Chase Field,653.2,2017,0.287,0.423,33.445777,-112.066643
Turner Field,621.8,2008,0.28,0.5,33.735725,-84.389481
Turner Field,621.8,2009,0.289,0.463,33.735725,-84.389481
Turner Field,621.8,2010,0.292,0.487,33.735725,-84.389481
Turner Field,621.8,2011,0.304,0.427,33.735725,-84.389481
Turner Field,621.8,2012,0.317,0.415,33.735725,-84.389481
Turner Field,621.8,2013,0.293,0.411,33.735725,-84.389481
Turner Field,621.8,2014,0.285,0.423,33.735725,-84.389481
Turner Field,621.8,2015,0.299,0.421,33.735725,-84.389481
Turner Field,621.8,2016,0.302,0.454,33.735725,-84.389481
Turner Field,621.8,2017,0.287,0.42,33.735725,-84.389481
Kauffman Stadium,538.2,2008,0.28,0.5,39.05193,-94.480325
Kauffman Stadium,538.2,2009,0.274,0.463,39.05193,-94.480325
Kauffman Stadium,538.2,2010,0.302,0.441,39.05193,-94.480325
Kauffman Stadium,538.2,2011,0.312,0.433,39.05193,-94.480325
Kauffman Stadium,538.2,2012,0.298,0.463,39.05193,-94.480325
Kauffman Stadium,538.2,2013,0.283,0.481,39.05193,-94.480325
Kauffman Stadium,538.2,2014,0.293,0.399,39.05193,-94.480325
Kauffman Stadium,538.2,2015,0.299,0.412,39.05193,-94.480325
Kauffman Stadium,538.2,2016,0.302,0.409,39.05193,-94.480325
Kauffman Stadium,538.2,2017,0.287,0.423,39.05193,-94.480325
Dodger Stadium,152.71,2008,0.264,0.399,34.074091,-118.239969
Dodger Stadium,152.71,2009,0.27,0.412,34.074091,-118.239969
Dodger Stadium,152.71,2010,0.252,0.379,34.074091,-118.239969
Dodger Stadium,152.71,2011,0.257,0.375,34.074091,-118.239969
Dodger Stadium,152.71,2012,0.252,0.374,34.074091,-118.239969
Dodger Stadium,152.71,2013,0.264,0.396,34.074091,-118.239969
Dodger Stadium,152.71,2014,0.265,0.406,34.074091,-118.239969
Dodger Stadium,152.71,2015,0.25,0.413,34.074091,-118.239969
Dodger Stadium,152.71,2016,0.249,0.409,34.074091,-118.239969
Dodger Stadium,152.71,2017,0.249,0.437,34.074091,-118.239969
Petco Park,4.55,2008,0.244,0.39,32.707927,-117.156904
Petco Park,4.55,2009,0.242,0.381,32.707927,-117.156904
Petco Park,4.55,2010,0.231,0.371,32.707927,-117.156904
Petco Park,4.55,2011,0.237,0.349,32.707927,-117.156904
Petco Park,4.55,2012,0.247,0.38,32.707927,-117.156904
Petco Park,4.55,2013,0.245,0.378,32.707927,-117.156904
Petco Park,4.55,2014,0.226,0.342,32.707927,-117.156904
Petco Park,4.55,2015,0.243,0.385,32.707927,-117.156904
Petco Park,4.55,2016,0.235,0.39,32.707927,-117.156904
Petco Park,4.55,2017,0.234,0.393,32.707927,-117.156904
AT&T Park,2.76,2008,0.262,0.382,37.778875,-122.389248
AT&T Park,2.76,2009,0.257,0.389,37.778875,-122.389248
AT&T Park,2.76,2010,0.257,0.408,37.778875,-122.389248
AT&T Park,2.76,2011,0.242,0.368,37.778875,-122.389248
AT&T Park,2.76,2012,0.269,0.397,37.778875,-122.389248
AT&T Park,2.76,2013,0.26,0.381,37.778875,-122.389248
AT&T Park,2.76,2014,0.255,0.388,37.778875,-122.389248
AT&T Park,2.76,2015,0.267,0.406,37.778875,-122.389248
AT&T Park,2.76,2016,0.258,0.398,37.778875,-122.389248
AT&T Park,2.76,2017,0.249,0.38,37.778875,-122.389248
Marlins Park,1.69,2008,0.254,0.433,25.778646,-80.219576
Marlins Park,1.69,2009,0.268,0.416,25.778646,-80.219576
Marlins Park,1.69,2010,0.254,0.403,25.778646,-80.219576
Marlins Park,1.69,2011,0.247,0.388,25.778646,-80.219576
Marlins Park,1.69,2012,0.244,0.382,25.778646,-80.219576
Marlins Park,1.69,2013,0.231,0.355,25.778646,-80.219576
Marlins Park,1.69,2014,0.253,0.378,25.778646,-80.219576
Marlins Park,1.69,2015,0.26,0.384,25.778646,-80.219576
Marlins Park,1.69,2016,0.263,0.394,25.778646,-80.219576
Marlins Park,1.69,2017,0.267,0.431,25.778646,-80.219576
